无锡市安民康复医院	无锡安民康复医院
江宁区中医医院	南京市惠民中医院南京市江宁区中医院
天津南开医院	天津市中西医结合医院天津市南开医院
黑龙江省北兴农场职工医院	
勃利县人民医院	
勃利县中医院	
七台河市新兴区红旗医院	
七台河妇科医院(民营)	
七台河男科医院(民营)	
七台河市新兴区人民医院	新兴县人民医院
七台河矿业集团康复医院	
七台河市中医院	七台河市中医院
七台河市妇幼保健院〓七台河市第二医院	
七台河市新兴区妇幼保健院	
七台河市洗煤厂职工医院	
七台河矿业集团桃山煤矿职工医院	
七台河警官医院	
七台河矿业集团总医院	七台河矿业集团总医院
七台河市人民医院	七台河市人民医院
七台河市茄子河区医院	
广州中医药大学附属三亚医院〓广州中医药大学附属粤海医院	
三亚华侨医院(民营)	
三亚市结核病防治所	
三亚市皮肤性病防治所	
三亚市琼南眼科医院(民营)	
三亚市妇幼保健院〓三亚市妇女儿童医院	三亚市妇幼保健院三亚市妇女儿童医院
中国人民解放军四二五医院	
三亚市人民医院	三亚市人民医院
三亚市中医院	
海南省第三人民医院〓海南省农垦三亚医院〓哈尔滨医科大学附属第一医院海南分院	
海南省国营南岛农场医院	
海南省国营南新农场医院	
三亚市慢性病防治医院〓三亚市三林医院	
国营南田农场医院	
中国人民解放军总医院海南分院	
广州中医药大学附属粤海医院	
海南省农垦立才医院	
海南省农垦南滨医院	
解放军第425医院	
三亚安宁医院	
三亚东大肛肠医院(民营)	
三亚东南眼科医院(民营)	
三亚繁华医院	
三亚福音妇科医院(民营)	
三亚口腔医院	
三亚圣迪亚整形美容医院	
三亚市海棠区南田医院	
三亚市吉阳区南新医院	
三亚市天涯区高峰医院	
三亚市崖州区南滨医院	
三亚学院医院	
三亚榆和医院	
三亚泽瑞医院	
三明市皮肤病防治院	
1	
福建中医药大学附属三明中西医结合医院三明市中西医结合医院(原:三明市第三医院、三明市中医院)	
三明市妇幼保健院	
三明市三元区妇幼保健所	
三明市三元区妇幼保健院	
三明市中西医结合医院城关分院	
大田民生医院(民营)	
大田协和医院(民营)	
大田县医院	大田县医院
大田县中医院	大田县中医院
大田县妇幼保健院	
大田县总医院	
宁化县医院	宁化县医院
宁化县中医院	宁化县中医院
宁化县妇幼保健院	
宁化县总医院	
将乐县医院	将乐县医院
将乐县中医院	
将乐县妇幼保健院	
将乐县总医院	
建宁县中医院	
建宁县人民医院	
建宁县妇幼保健所	
建宁县总医院	
建宁县妇幼保健院	
明溪县医院	明溪县医院
明溪县中医院	
明溪县妇幼保健所	
明溪县妇幼保健院	
明溪县总医院	
三明市梅列区第二医院	
三明市职业病防治院	
三明市第一医院分院(原:三明市第六医院)	
三明市梅列区医院	
三明市第五医院(原:三明市钢铁厂职工医院)	
三明市第一医院福建医科大学附属三明第一医院	三明市第一医院福建医科大学附属三明第一医院
三明市梅列区妇幼保健所	
永安光明医院(民营)	
永安博爱医院(民营)	
三明市第二医院东院(原:永安铁路医院)	
永安市中医院	
永安市立医院	永安市立医院
永安市第五医院(原:永安矿务局医院)	
